minute,second,kongqiu_team,pass_player_name,pass_location_y,pass_location_x,jieqiu_team,jieqiu_player_name,end_location_y,end_location_x
18,41,CHA,Cody Zeller,6.60938,33.27631,CHA,Kemba Walker,26.99708,36.69412
20,6,CHA,Kemba Walker,27.36966,25.50164,CHA,Frank Kaminsky,35,39
20,12,CHA,Frank Kaminsky,61,40,CHA,Kemba Walker,32.86586,25.44191
20,55,CHA,Kemba Walker,55.96867,15.8729,CHA,Jeremy Lamb,35,39
21,23,TOR,DeMar DeRozan,82.29783,15.13754,TOR,Patrick Patterson,35,39
21,25,TOR,Patrick Patterson,61,40,TOR,Kyle Lowry,72.57036,25.57581
21,39,TOR,Kyle Lowry,77.63245,26.56901,TOR,Patrick Patterson,35,39
22,47,TOR,DeMar DeRozan,38.53406,47.38996,TOR,Cory Joseph,35,39
23,0,CHA,Tyler Hansbrough,61,40,CHA,Jeremy Lamb,35,39
23,0,CHA,Tyler Hansbrough,61,40,TOR,DeMar DeRozan,24.39101,47.70778
23,6,TOR,DeMar DeRozan,24.71077,47.20754,TOR,Cory Joseph,35,39
23,12,TOR,Cory Joseph,61,40,TOR,Patrick Patterson,35,39
23,14,TOR,Patrick Patterson,61,40,TOR,Cory Joseph,35,39
24,0,CHA,Jeremy Lamb,61,40,CHA,Frank Kaminsky,35,39
25,9,TOR,DeMar DeRozan,33.3259,26.91827,TOR,Patrick Patterson,35,39
25,26,CHA,Frank Kaminsky,61,40,CHA,Kemba Walker,17.78262,15.07656
25,52,TOR,Patrick Patterson,61,40,TOR,DeMar DeRozan,4.69353,30.55298
